51° 23.35274802644051,6° 48.41830653035775
51° 23.352697438506453,6° 48.418565998469276
51° 23.35264656804341,6° 48.41882532468786
51° 23.352595415205712,6° 48.41908450822116
51° 23.35254398103018,6° 48.41934354385869
51° 23.35249226391639,6° 48.4196024396566
51° 23.352440264898178,6° 48.419861190402926
51° 23.352387984133287,6° 48.42011979530991
51° 23.352335422681563,6° 48.42037824917611
51° 23.352282578908046,6° 48.42063656004257
51° 23.352229453868745,6° 48.42089472270635
51° 23.35217604772609,6° 48.42115273638125
51° 23.35212236156039,6° 48.4214105958797
51° 23.352068393703433,6° 48.42166830922119
51° 23.35201414523297,6° 48.42192587121815
51° 23.351959616314417,6° 48.422183281084315
51° 23.35190480805238,6° 48.42244053364438
51° 23.351849718741562,6° 48.422697636901034
51° 23.351794349484436,6° 48.422954585675875
51° 23.35173870044855,6° 48.42321137918718
51° 23.351682771804008,6° 48.42346801665185
51° 23.351626564682277,6° 48.423724492909734
51° 23.351570077336703,6° 48.423980815937654
51° 23.351513310896195,6° 48.42423698057702
51° 23.351456265533415,6° 48.424492986044626
51° 23.35139894240328,6° 48.424748827194065
51° 23.351341339722467,6° 48.425004511983886
51° 23.35128345864419,6° 48.42526003526311
51° 23.351225299344094,6° 48.42551539625467
51° 23.35116686299841,6° 48.4257705898259
51° 23.35110814779142,6° 48.42602562391239
51° 23.351049154896373,6° 48.42628049337846
51° 23.350989884493174,6° 48.42653519744861
51° 23.350930337781932,6° 48.42678973100077
51° 23.35087051290941,6° 48.42704410195232
51° 23.350810411073155,6° 48.42729830518279
51° 23.350750032456915,6° 48.427552339915074
51° 23.350689378280833,6° 48.4278062010425
51° 23.35062844666055,6° 48.428059896462585
51° 23.350567238812374,6° 48.42831342106395
51° 23.350505754925166,6° 48.42856677407564
51° 23.350443996242944,6° 48.428819950404716
51° 23.350381960842554,6° 48.429072957925726
51° 23.350319649967588,6° 48.42932579154271
51° 23.35025706380648,6° 48.429578450486126
51° 23.350194203626273,6° 48.429830929675305
51° 23.350131067471835,6° 48.430083236964876
51° 23.350067656605518,6° 48.430335367274196
51° 23.35000397122215,6° 48.43058731983221
51° 23.349940012608812,6° 48.43083908957652
51° 23.349875778776266,6° 48.43109068433584
51° 23.349811271011163,6° 48.431342099046276
51° 23.349746489508334,6° 48.43159333293991
51° 23.34968143558001,6° 48.43184438096495
51° 23.349616107201143,6° 48.43209525093337
51° 23.349550505680128,6° 48.43234593778892
51° 23.34948463121691,6° 48.43259644077122
51° 23.349418485143758,6° 48.43284675484229
51° 23.349352065402798,6° 48.433096887789716
51° 23.34928537332459,6° 48.43334683457394
51° 23.349218409111216,6° 48.433596594433084
51° 23.349151174117537,6° 48.43384616234913
51° 23.349083666252,6° 48.43409554608353
51° 23.349015886866482,6° 48.43434474061212
51° 23.348947836167753,6° 48.43459374517607
51° 23.348879515531138,6° 48.43484255477102
51° 23.348810922831404,6° 48.43509117713714
51° 23.348742059443026,6° 48.4353396072639
51° 23.348672925575755,6° 48.435587844395656
51° 23.348603521438065,6° 48.43583588777663
51° 23.348533848435977,6° 48.43608373241931
51° 23.3484639044012,6° 48.43633138603629
51° 23.348393690733786,6° 48.436578843635445
51° 23.34832320764903,6° 48.43682610446411
51° 23.348252456570435,6° 48.43707316355303
